"V2022","V2023","V2025A","V2026","V2036","V2078","V2124","V2125","V2126B","V2127B","V2128B","V2129","V3012","V3018","V3020","V3023A","V3032","V3061","V3062","V3064","VS0005","VS0007","VS0017","VS0019","VS0020","VS0022","VS0023","VS0025","VS0028","VS0036","VS0037","VS0038","VS0039","VS0041","VS0042","VS0043","VS0045","VS0046","VS0047","VS0048","VS0049","VS0050","VS0051","VS0052","VS0053","VS0054","VS0055","VS0146","VS0147","VS0148","VS0149","VS0150","VS0151","VS0057","VS0152","VS0153","VS0154","VS0155","VS0069","VS0070","VS0112","VS0138","o_bullied"
5,9,2,98,2,1,2,1,20,2,1,1,4,2,7,2,3,1,0,0,1,1,5,1,1,9,12,2,1,1,1,1,1,3,1,3,1,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,0
1,8,2,12,2,1,2,2,0,2,3,3,4,2,8,1,4,1,0,0,1,1,4,1,1,9,12,3,2,2,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,0
1,1,2,14,2,3,2,1,0,3,4,2,4,2,6,1,10,1,0,0,3,0,3,1,1,8,12,1,2,1,1,2,1,3,2,1,1,1,2,1,1,2,2,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,0
1,1,1,98,2,0,2,1,22,4,1,1,3,1,27,1,17,0,0,1,1,1,7,1,2,9,12,3,2,2,2,2,1,4,2,1,1,3,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2,0
1,1,2,8,2,1,2,1,16,4,1,1,3,1,27,1,6,0,0,1,2,1,6,1,2,9,12,1,1,2,1,2,1,2,1,1,3,2,2,2,1,1,2,1,1,1,4,2,1,1,1,1,1,2,1,2,1,1,2,2,2,3,0
8,1,2,5,2,1,2,2,13,4,1,2,3,1,8,1,3,0,1,0,1,1,3,1,1,7,8,2,2,1,1,2,1,1,1,2,1,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,2,2,1,1,2,4,1
1,1,2,11,2,1,2,1,16,3,3,3,4,2,9,1,99,0,0,1,3,0,3,1,1,6,8,2,2,1,1,3,1,3,2,1,1,3,3,1,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,0
1,2,2,4,2,1,2,1,17,1,1,1,4,2,6,1,99,0,0,1,2,1,2,1,2,6,7,1,2,1,1,2,1,2,1,1,3,4,3,1,3,2,2,2,2,2,3,2,3,1,2,2,2,1,3,2,2,2,2,2,2,2,0
1,1,2,10,2,1,2,1,17,2,1,1,3,1,7,1,3,1,0,0,1,1,3,1,1,7,8,1,2,1,1,2,2,1,1,3,1,3,3,1,2,2,2,1,1,1,4,2,2,1,1,1,1,1,4,1,1,1,2,1,1,2,1
1,1,2,14,2,2,2,1,16,2,1,2,4,2,5,1,2,1,0,0,2,0,1,1,1,5,6,1,2,1,2,2,1,2,2,1,2,2,1,2,1,1,2,2,1,1,4,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,0
1,1,2,14,2,3,1,1,0,1,4,2,3,1,10,1,4,1,0,0,2,0,7,1,1,9,12,1,2,1,1,3,1,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,0
1,1,2,14,2,2,2,1,20,4,4,1,3,1,8,1,8,1,0,0,2,0,4,1,1,9,12,1,2,1,2,2,2,3,2,3,3,2,2,2,2,2,2,3,1,1,4,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,0
1,1,2,14,2,3,2,1,17,4,1,1,3,1,40,7,9,1,0,0,3,1,7,1,1,9,12,2,1,1,1,3,1,3,2,1,1,3,2,1,1,1,2,2,2,2,3,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,0
1,1,2,3,2,0,2,1,13,3,3,3,4,2,8,3,99,0,0,1,1,1,4,1,1,9,12,2,2,1,1,2,1,3,2,1,1,3,3,1,1,1,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1
1,8,2,14,2,2,2,1,16,1,1,2,3,1,8,1,3,0,0,1,2,1,4,1,1,9,12,1,2,2,1,2,1,3,1,1,1,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,0
1,1,2,14,2,2,2,1,0,3,1,2,4,2,6,1,2,1,0,0,1,1,2,1,1,6,8,2,2,1,1,2,1,1,2,1,1,3,2,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1
1,1,1,2,2,1,2,1,22,4,1,1,4,2,7,1,13,0,0,1,1,1,2,2,9,0,8,1,2,2,1,2,1,4,2,2,1,3,3,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,2,2,2,1,2,2,2,3,0
1,1,2,11,2,3,2,1,13,4,1,2,4,2,8,1,14,0,1,0,2,0,3,1,1,8,9,3,2,1,1,2,1,3,2,1,1,2,2,1,1,1,2,1,1,1,4,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0
1,1,2,14,1,0,2,1,13,1,1,2,4,2,6,1,12,1,0,0,2,0,2,1,1,5,8,1,2,2,1,2,1,2,2,2,1,1,2,1,2,2,2,2,2,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,0
1,1,2,13,2,3,1,1,0,2,1,2,9,2,28,1,18,0,0,0,1,1,7,1,2,11,12,4,3,1,1,3,1,1,1,1,1,3,4,1,2,1,1,1,1,1,4,1,2,1,1,1,1,1,2,1,1,1,2,2,2,1,0
1,1,1,10,2,2,2,1,18,4,1,2,3,1,6,1,1,1,0,0,1,1,2,1,1,7,8,1,2,1,2,2,1,3,2,2,2,1,3,2,2,2,3,2,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,0
1,1,2,10,2,4,2,1,18,4,1,1,4,2,7,1,1,1,0,0,2,1,3,1,1,0,8,1,2,2,1,2,1,2,2,2,3,2,2,2,2,2,2,3,2,1,4,1,1,1,1,1,1,1,3,3,3,3,2,2,2,1,0
1,1,2,9,2,3,1,1,22,4,1,1,7,1,10,1,10,0,1,0,1,1,5,1,1,9,12,1,1,1,1,2,1,1,1,3,1,2,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,0
1,1,2,98,1,0,2,1,16,3,1,2,3,1,10,2,2,1,0,0,1,1,7,1,1,9,12,2,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,1,1,2,2,2,2,1,1,1,2,2,1,2,2,3,0
1,1,1,12,1,3,1,1,16,3,1,2,8,2,7,3,5,0,0,0,3,0,2,1,1,7,8,1,2,1,1,2,1,2,2,1,1,4,3,2,2,2,2,2,2,2,4,2,3,2,2,2,2,2,3,3,2,3,1,2,1,2,1
8,8,2,98,1,3,2,1,18,3,1,1,3,1,6,2,99,0,0,1,1,1,1,1,1,6,8,1,2,1,1,1,1,1,2,1,1,3,4,2,1,1,1,1,1,1,4,1,1,1,1,1,1,4,3,1,1,1,2,2,1,3,1
1,8,2,12,2,2,2,1,20,3,1,1,4,2,7,1,5,0,0,1,3,0,3,1,1,6,8,2,2,1,1,2,1,4,1,1,1,3,4,1,2,1,2,1,2,2,3,2,2,2,2,2,2,1,3,2,2,2,1,1,1,2,1
1,1,2,14,2,2,2,1,16,1,1,2,4,2,9,4,3,0,0,1,1,1,4,1,1,9,10,2,2,1,1,2,1,2,2,1,1,2,2,2,2,1,2,2,2,1,3,3,1,2,1,1,1,1,4,1,2,1,2,2,2,1,0
5,9,2,9,2,4,2,2,0,4,1,3,3,1,8,1,11,1,0,0,2,0,3,1,1,6,8,1,2,2,1,2,2,2,2,1,1,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,0
5,9,2,14,2,3,2,1,18,4,1,1,4,2,7,1,4,0,0,1,1,1,3,1,1,6,8,1,3,3,1,3,3,1,1,1,1,2,2,2,2,2,2,2,2,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
1,1,2,4,1,1,2,2,0,3,3,3,3,1,10,1,5,1,0,0,1,1,6,1,1,5,12,3,2,1,1,2,2,1,2,1,1,3,2,1,1,3,2,2,2,2,3,2,3,2,2,2,2,2,3,2,2,2,1,1,1,2,1
1,1,2,13,2,3,2,1,0,3,4,2,3,1,7,1,4,0,1,0,1,1,3,1,1,7,8,1,2,2,1,2,1,4,1,1,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
5,9,2,8,2,1,2,1,16,3,1,2,9,2,6,1,12,0,0,1,1,1,1,1,1,5,6,2,2,2,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,0
1,1,2,13,2,2,1,2,13,4,4,2,3,1,8,1,9,0,0,1,3,0,4,1,1,9,12,1,2,2,2,2,1,1,2,1,1,3,4,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,2,1,3,1
8,8,2,5,2,0,2,1,23,1,1,1,9,1,7,2,13,1,0,0,2,0,4,1,2,6,8,4,3,1,2,3,1,2,1,3,1,3,2,2,2,1,2,2,2,2,3,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,0
1,1,2,13,2,2,2,1,19,3,1,1,3,1,11,2,99,1,0,0,1,1,7,1,1,9,12,1,2,1,1,2,1,1,2,2,1,3,3,1,2,2,2,2,2,2,3,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,0
1,1,2,14,2,2,2,1,18,2,1,2,4,2,6,2,12,1,0,0,2,0,1,1,1,0,6,1,2,1,2,2,1,2,2,1,1,2,3,1,1,1,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,0
1,1,2,98,2,2,2,1,16,4,1,3,4,2,8,1,6,1,0,0,2,1,4,1,2,0,12,1,1,2,1,2,1,2,1,2,1,1,4,2,2,2,2,3,2,2,3,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,0
1,1,2,8,2,2,2,1,16,3,1,2,3,1,27,2,2,1,0,0,1,1,7,1,1,0,12,1,1,1,1,2,2,4,2,1,1,2,3,2,2,2,1,1,1,1,4,1,2,1,1,1,1,1,2,2,2,2,2,2,1,2,0
1,1,2,13,2,3,2,2,13,2,3,3,3,1,8,1,14,1,0,0,2,0,3,1,1,7,12,2,2,2,1,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0
8,8,2,13,2,2,2,1,17,2,1,2,4,2,10,1,15,1,0,0,2,1,6,2,9,9,12,1,2,2,1,2,1,1,1,1,1,2,2,1,1,1,2,2,1,1,4,1,1,2,1,1,1,1,3,2,4,1,2,2,2,1,0
1,3,1,14,1,4,1,1,23,1,1,1,3,1,11,1,6,0,0,1,2,1,7,1,1,9,12,3,2,1,1,1,1,1,2,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,2,0
1,8,2,14,2,3,2,1,13,2,4,2,9,1,9,1,6,1,0,0,1,1,5,1,1,10,12,1,2,1,1,2,1,1,2,1,1,1,2,2,2,1,1,2,2,2,3,2,2,2,2,2,2,1,1,1,1,1,2,1,2,1,1
1,1,1,14,2,2,2,1,18,4,4,2,3,1,10,1,1,1,0,0,1,1,5,1,1,9,12,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,0
1,1,2,98,2,3,2,1,18,2,4,1,4,2,5,1,4,1,0,0,2,0,1,2,9,6,8,1,2,3,1,2,1,3,2,1,3,3,2,2,2,2,2,2,2,1,4,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0
1,1,2,13,2,2,2,1,17,4,4,2,3,1,8,4,5,1,0,0,2,0,1,2,9,1,5,2,3,1,1,2,1,1,1,3,1,2,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,0
8,8,2,7,2,1,2,1,16,4,1,2,3,1,10,1,2,1,0,0,1,1,6,1,1,9,12,2,2,1,1,2,1,1,2,1,1,3,4,2,2,2,1,2,1,2,3,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,0
1,1,2,8,2,1,2,1,16,4,1,2,3,1,11,1,1,1,0,0,3,1,7,1,1,9,12,1,1,1,1,2,1,1,2,1,1,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
1,1,2,98,2,2,2,1,18,4,1,1,3,1,6,1,12,1,0,0,1,1,2,1,1,6,8,1,2,1,2,2,1,4,2,1,2,3,4,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,1,2,2,2,2,2,1,2,1
1,1,2,12,2,2,2,1,16,3,4,2,4,2,8,1,5,0,0,1,1,1,3,1,2,0,8,1,2,1,1,2,2,1,2,1,1,2,2,2,2,1,1,2,1,1,4,2,2,2,1,1,2,2,1,1,1,1,2,2,2,2,0
1,1,2,12,2,1,2,1,17,1,1,1,3,1,5,2,5,0,1,0,1,1,1,1,1,6,7,1,2,1,1,2,1,1,1,1,1,2,3,2,2,4,2,2,2,1,4,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,0
1,1,2,12,2,2,2,1,16,3,1,2,4,2,6,1,99,0,1,0,1,1,2,1,1,7,9,1,2,1,1,2,2,3,2,1,1,3,4,2,2,2,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1
1,1,2,14,2,3,2,2,0,1,1,2,3,1,11,1,17,1,0,0,2,1,6,1,1,9,12,1,2,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,2,2,3,2,2,2,2,2,2,1,2,1,1,1,2,2,1,1,0
1,8,2,8,2,1,2,1,16,1,1,2,3,1,27,1,1,0,1,0,1,1,7,1,2,9,12,3,1,2,1,2,1,4,2,3,2,3,2,1,1,1,1,1,2,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0
1,1,2,10,2,2,2,1,13,3,1,2,4,2,6,1,99,0,1,0,1,1,2,1,1,7,8,1,2,2,2,2,1,2,2,1,3,2,2,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,2,2,2,98,0
1,2,2,5,2,1,1,1,16,4,1,2,3,1,10,1,2,0,0,1,2,1,6,1,1,9,12,1,2,1,1,2,1,4,2,1,3,3,3,3,2,2,2,1,1,1,3,2,2,2,2,2,2,2,3,2,3,2,2,2,2,3,0
1,1,2,10,2,2,2,2,0,3,3,3,3,1,7,1,5,1,0,0,2,0,3,1,1,1,8,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
1,1,2,98,2,4,2,2,0,4,4,3,4,2,5,1,6,0,0,1,1,1,2,1,1,7,12,1,1,2,1,2,1,2,1,1,3,3,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1
1,1,2,14,2,3,1,2,0,2,1,2,4,2,8,1,15,1,0,0,1,1,4,1,1,9,12,1,2,2,1,2,3,2,2,1,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,0
1,1,2,98,2,1,2,2,0,3,1,2,9,1,10,2,5,0,0,1,2,1,6,1,1,9,12,3,2,1,1,2,1,3,2,1,1,3,3,2,2,1,1,1,1,2,4,2,1,1,1,1,1,2,1,1,2,2,1,2,2,2,0
1,1,2,12,2,2,2,1,19,1,1,1,4,2,28,2,16,1,0,0,2,0,5,1,2,9,12,1,2,1,1,2,1,1,2,1,3,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,1,3,2,3,2,2,2,2,1,0
1,1,2,14,2,2,2,1,17,3,1,1,3,1,6,4,1,1,0,0,1,1,2,1,1,6,12,2,2,1,1,3,1,3,2,1,1,2,3,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,4,1,2,2,1,2,2,1,0
1,1,2,98,2,2,2,1,16,3,1,2,3,1,5,1,2,0,1,0,1,1,1,1,1,5,6,1,2,1,1,1,1,4,2,1,1,3,3,2,2,3,3,2,3,1,3,2,3,2,1,1,1,1,2,2,2,2,1,2,1,2,1
1,1,2,12,2,2,2,1,18,3,4,1,3,1,10,2,7,1,0,0,2,1,6,1,1,9,12,3,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,0
1,1,2,98,1,0,1,1,23,1,4,1,11,1,11,4,3,0,1,0,1,1,6,1,2,9,12,2,2,1,1,3,3,1,2,3,3,1,99,2,2,3,2,3,2,2,3,3,3,2,3,3,3,3,3,3,3,3,2,2,2,98,0
1,1,2,11,2,2,2,1,17,4,1,1,4,2,11,1,6,0,1,0,2,0,6,1,1,9,12,1,2,1,1,2,2,4,2,1,1,1,1,1,1,3,1,1,2,1,4,1,1,1,1,1,1,1,1,1,2,1,1,2,1,3,0
1,1,2,98,2,2,2,1,17,3,1,2,4,2,9,1,99,0,0,1,1,1,4,2,9,9,12,1,2,1,1,2,1,1,2,1,1,2,3,1,1,1,3,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0
1,1,2,98,2,2,1,1,22,2,1,1,3,1,27,1,17,0,0,1,2,1,7,1,1,9,12,1,2,2,1,2,3,2,1,3,1,3,4,2,2,2,2,2,3,2,3,2,2,2,2,1,1,2,2,2,3,3,2,2,2,2,1
8,1,2,10,2,1,2,1,16,3,1,2,3,1,11,2,15,1,0,0,1,1,6,1,1,9,12,2,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
1,1,1,5,2,1,2,1,21,3,1,1,4,2,6,1,99,1,0,0,1,1,2,1,1,6,8,1,2,1,1,3,1,2,2,1,1,4,3,2,2,2,2,2,1,2,3,1,2,1,2,1,1,1,2,2,3,2,2,2,1,2,1
1,1,2,14,2,3,2,1,13,2,1,2,4,2,9,1,16,1,0,0,1,1,5,1,1,9,12,1,2,1,1,2,1,1,2,1,1,2,3,1,1,2,2,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,0
1,8,1,1,2,2,2,1,18,4,1,1,4,2,7,1,5,1,0,0,1,1,2,1,1,7,8,1,2,1,1,2,1,3,1,3,3,3,4,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,3,2,2,2,2,1,0
1,1,1,9,2,2,2,2,0,3,4,3,3,1,6,1,13,1,0,0,1,1,2,1,1,6,8,1,2,1,1,2,2,1,2,2,1,4,4,1,2,1,2,1,4,3,2,2,1,3,2,3,3,2,2,1,2,1,2,2,2,6,1
8,1,2,98,2,2,2,1,16,3,1,2,4,2,10,1,99,0,0,1,1,1,5,1,1,9,12,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,4,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,0
1,1,2,98,2,1,2,1,16,2,3,3,4,2,6,1,1,1,0,0,1,1,1,1,1,0,6,2,1,2,1,2,1,2,2,1,3,1,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0
1,8,2,14,2,2,2,1,18,3,1,1,4,2,10,1,16,1,0,0,1,1,6,1,2,9,12,1,2,1,1,2,2,1,2,1,1,2,1,1,1,1,2,2,1,1,4,1,1,1,1,1,1,1,1,1,3,3,2,2,2,1,0
1,1,2,14,2,1,2,1,17,4,1,1,4,2,8,1,8,1,0,0,1,1,3,1,1,3,8,1,2,2,2,2,1,3,2,2,1,3,3,2,2,1,1,2,2,2,3,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1
1,1,2,13,2,2,2,1,19,4,1,1,4,2,8,7,1,0,0,1,2,0,3,1,2,6,8,3,2,1,2,2,1,1,2,1,1,2,3,1,2,2,4,1,2,1,2,1,2,1,1,2,1,2,1,1,3,2,2,2,2,6,0
1,8,2,14,2,3,2,1,13,1,1,2,3,1,9,4,8,1,0,0,1,1,5,1,1,9,12,2,2,1,1,2,1,1,1,1,3,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0
1,1,1,8,1,1,1,1,21,3,1,1,3,1,7,15,99,0,1,0,1,1,2,1,1,6,8,2,1,1,1,2,1,1,1,1,1,1,99,1,2,2,2,2,2,2,3,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,0
8,8,2,12,2,2,2,1,0,3,3,2,4,2,10,6,99,0,1,0,3,1,6,1,1,9,12,2,2,2,1,2,2,3,1,1,3,3,3,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0
1,1,2,14,2,2,2,1,16,1,1,2,3,1,6,1,13,1,0,0,1,1,3,1,1,6,8,2,2,1,1,2,1,1,2,3,1,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1
1,1,2,14,2,4,2,2,0,2,1,3,3,1,8,1,2,0,1,0,2,1,4,1,1,9,12,4,1,1,1,2,1,1,2,1,1,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,0
1,1,1,4,2,1,2,1,19,4,1,1,3,1,7,2,1,1,0,0,1,1,3,1,2,6,8,4,2,1,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,3,1,1,2,2,2,2,0
1,1,2,14,2,2,2,1,16,3,4,2,4,2,7,1,99,0,1,0,2,1,3,1,1,6,8,1,2,1,1,1,1,1,2,1,1,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0
1,1,2,12,2,3,2,1,21,4,1,1,3,1,10,1,14,0,0,1,1,1,4,1,1,9,12,1,2,1,1,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,3,1,1,2,2,1,1,1,2,2,3,2,2,2,1,1,0
1,8,2,14,2,4,2,2,0,2,1,2,4,2,11,1,18,1,0,0,1,1,7,1,1,9,12,1,2,2,1,2,1,1,2,1,1,2,1,2,2,1,2,2,1,1,4,1,2,1,1,1,1,1,1,2,1,2,2,2,1,2,0
1,1,2,14,2,3,1,1,0,3,4,2,3,1,27,1,11,0,0,1,1,1,7,1,1,9,12,1,2,1,1,1,1,3,2,1,1,4,3,2,3,1,2,3,1,2,3,1,1,1,1,1,1,1,1,1,3,2,1,2,1,2,1
1,1,2,14,2,2,2,1,19,2,1,1,4,2,7,1,13,1,0,0,3,0,2,1,1,0,12,1,2,1,1,2,1,1,2,1,1,4,3,2,2,2,2,3,2,2,3,1,2,1,1,1,2,1,2,2,2,2,2,2,1,1,0
1,1,2,13,2,3,2,1,13,2,3,3,3,1,9,1,99,1,0,0,1,1,5,1,1,9,12,1,2,1,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,3,2,2,2,2,3,0
1,1,2,7,2,0,2,1,18,4,1,2,4,2,27,1,9,1,0,0,1,1,7,1,1,8,12,2,1,1,1,1,1,1,2,1,1,1,3,2,2,1,1,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,0
1,1,2,5,2,2,1,1,13,3,1,2,9,2,28,1,18,0,1,0,1,1,7,2,9,9,12,1,2,2,1,2,2,4,2,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,3,2,2,2,2,1,0
1,1,2,14,2,3,2,2,0,2,1,2,4,2,10,1,17,1,0,0,1,1,7,1,1,9,12,2,2,2,1,2,1,2,1,1,3,2,3,2,2,3,2,2,2,2,3,2,1,2,2,2,2,1,2,2,2,2,1,1,2,2,0
1,1,2,98,2,4,2,1,22,2,1,1,10,2,6,1,13,0,0,1,4,0,2,1,1,0,8,1,2,1,1,1,1,4,2,1,1,3,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,2,2,2,3,1
1,1,2,10,2,4,2,1,0,2,1,2,9,1,10,1,3,0,0,1,1,1,5,1,2,8,12,4,2,1,1,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,6,0
1,8,2,13,2,2,2,1,18,4,1,2,3,1,6,1,10,0,0,1,1,1,2,1,1,6,8,1,2,2,1,2,2,1,2,1,1,3,3,2,2,1,2,1,2,2,2,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,0
1,1,2,14,1,3,2,1,16,3,4,2,3,1,10,1,6,1,0,0,1,1,5,1,1,9,12,1,2,1,1,2,1,1,2,1,1,2,2,2,2,2,3,1,1,2,3,1,2,2,1,2,1,2,1,1,1,1,1,2,2,1,0
1,1,2,5,2,2,1,1,22,2,1,1,4,2,10,1,8,1,0,0,1,1,5,1,1,9,12,1,2,1,1,1,1,2,1,1,1,2,2,2,2,3,3,2,2,2,3,1,2,2,1,1,2,2,3,2,2,2,2,2,1,2,1
1,2,2,1,2,1,1,1,13,1,1,2,4,2,6,1,1,0,0,0,1,1,2,1,1,7,8,3,2,1,1,2,1,1,2,1,1,4,2,3,2,2,2,2,2,2,3,1,2,2,2,2,2,1,3,1,1,1,2,2,2,1,0
1,8,2,14,2,3,2,1,16,2,1,2,3,1,10,1,14,1,0,0,1,1,7,1,1,9,12,1,2,1,1,2,1,1,2,2,1,1,2,2,2,1,2,2,1,1,4,2,1,1,1,1,1,1,1,1,2,1,2,2,2,1,0
1,1,2,98,2,2,1,1,16,4,1,1,3,1,7,1,11,0,0,1,2,0,2,1,1,6,8,2,2,1,1,2,1,1,2,1,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0
8,8,2,98,2,1,2,1,16,1,1,2,3,1,7,1,6,0,0,1,2,0,2,1,1,7,8,1,2,1,1,2,1,2,2,1,3,1,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0
5,9,2,12,2,2,2,1,18,4,1,1,4,2,8,1,99,0,0,1,2,1,4,1,1,9,12,1,1,1,1,3,1,2,2,1,1,3,3,3,2,2,3,3,2,3,3,3,2,2,2,2,2,2,2,2,3,3,1,2,1,3,0
1,1,2,98,2,3,2,1,19,3,1,1,4,2,8,1,13,1,0,0,2,1,4,2,9,0,12,2,2,1,1,2,1,2,2,1,1,2,2,1,1,2,1,1,1,1,4,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,0
1,1,2,12,2,3,2,1,13,4,1,2,3,1,10,5,17,1,0,0,1,1,6,1,1,10,12,1,3,1,1,2,1,1,2,1,1,3,3,2,2,2,2,3,1,2,3,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1
1,1,2,14,2,2,2,1,17,4,1,1,4,2,9,4,13,0,1,0,2,0,5,1,2,9,12,2,1,2,1,2,1,3,1,3,1,2,2,1,1,2,2,2,2,1,3,1,2,2,2,2,2,1,2,2,1,1,1,2,2,1,0
8,8,2,12,2,3,2,1,16,4,3,2,3,1,8,1,7,0,0,1,2,0,99,1,1,7,8,1,2,1,1,3,1,1,2,1,1,3,3,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,0
1,1,2,98,2,2,2,1,16,1,1,2,3,1,8,15,6,1,0,0,2,1,3,1,1,6,8,2,2,1,1,2,1,2,2,1,1,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
